Gene_1,Gene_2,Conditional_Probability_Mean,Conditional_Probability_SD,Conditional_Probability_CI_low,Conditional_Probability_CI_high,Relative_Risk_Mean,Relative_Risk_SD,Relative_Risk_CI_low,Relative_Risk_CI_high
vanG,gyrA_T82I,0.304208225,0.009762055,0.279957935,0.328458515,1.159726099,0.129018159,0.839227224,1.480224973
vanT_Cd,gyrA_T82I,0.304208225,0.009762055,0.279957935,0.328458515,1.159726099,0.129018159,0.839227224,1.480224973
ermB,aph3p_IIIa,0.028342285,0.004297866,0.017665795,0.039018776,1.159059211,0.103711924,0.901424509,1.416693913
rpoB_H502N,blaCDD_1,0.038024924,0.005252869,0.024976074,0.051073774,1.158519677,0.119299331,0.862163711,1.454875644
blaCDD_1,rpoB_H502N,0.033335573,0.0134407,-5.30E-05,0.066724124,1.158281839,0.118558238,0.863766848,1.45279683
vanR_Cd,ermB,0.231327224,0.021179155,0.178715286,0.283939162,1.158121027,0.070563507,0.98283156,1.333410495
gyrB_S366A,vanR_Cd,0.743415319,0.017457454,0.700048598,0.786782039,1.156858828,0.022715623,1.100430093,1.213287564
rpoB_H502N,gyrB_I139R,0.144037492,0.013574504,0.110316554,0.177758431,1.155099876,0.073349973,0.972888442,1.33731131
vanZ1,blaCDD,0.995910706,0.005099716,0.983242309,1.008579102,1.152839243,0.043911467,1.043757111,1.261921375
gyrB_D426V,blaCDD_2,0.11526836,0.022909874,0.058357079,0.172179641,1.145528139,0.24834864,0.528595917,1.762460362
vanG,gyrB_S366A,0.128484642,0.031450763,0.050356616,0.206612669,1.145005485,0.118242908,0.851273819,1.438737151
vanT_Cd,gyrB_S366A,0.128484642,0.031450763,0.050356616,0.206612669,1.145005485,0.118242908,0.851273819,1.438737151
rpoB_R505K,blaCDD_1,0.03751607,0.00603179,0.022532274,0.052499867,1.141768467,0.014398831,1.105999789,1.177537145
cfrC,gyrB_D426V,0.024074322,0.011403922,-0.00425459,0.052403234,1.141399034,0.174633053,0.707586482,1.575211586
gyrB_D426V,cfrC,0.025908796,0.003991698,0.01599287,0.035824723,1.140138556,0.173910798,0.708120185,1.572156927
blaCDD_1,rpoB_R505K,0.080536168,0.002462203,0.074419717,0.08665262,1.135426252,0.013608752,1.101620238,1.169232265
gyrA_T82I,ermB,0.241672612,0.043283053,0.134151548,0.349193675,1.131536071,0.121722005,0.829161847,1.433910295
gyrB_S366V,cfrC,0.02511095,0.004522563,0.013876281,0.036345619,1.128945346,0.183566548,0.672940761,1.584949931
spw,gyrB_D426V,0.025268558,0.016048837,-0.014598964,0.065136079,1.128804572,0.045102534,1.016763666,1.240845477
gyrB_D426V,spw,0.049012446,0.013497026,0.015483973,0.082540918,1.12604261,0.045029676,1.014182694,1.237902527
tetM,blaCDD_1,0.036404305,0.006636999,0.019917086,0.052891525,1.124259485,0.02966285,1.05057288,1.197946091
aph3p_IIIa,ermB,0.246246545,0.011910996,0.21665799,0.275835101,1.12386585,0.082072176,0.919987262,1.327744438
ermB,gyrA_T82I,0.316083057,0.02284557,0.259331514,0.3728346,1.120574237,0.111030145,0.844760067,1.396388406
aac6p_Ie_aph2pp_Ia,vanS_Cd,0.709870395,0.026011485,0.645254283,0.774486506,1.102101331,0.058613905,0.956496318,1.247706344
vanS_Cd,ermB,0.227690794,0.020206445,0.177495201,0.277886387,1.100559894,0.077314397,0.908500285,1.292619503
vanZ1,blaCDD_2,0.101962068,0.005541222,0.08819691,0.115727227,1.100000481,0.269365573,0.430859303,1.769141658
cfrC,gyrB_S366V,0.207102785,0.038848469,0.110597838,0.303607732,1.099963687,0.145723818,0.737965655,1.461961719
vanR_Cd,vanZ1,0.824893682,0.048478649,0.70446604,0.945321323,1.099830278,0.091744033,0.871925467,1.327735089
vanG,vanZ1,0.824928284,0.048534486,0.704361937,0.945494631,1.098951324,0.091066138,0.872730497,1.325172151
vanT_Cd,vanZ1,0.824928284,0.048534486,0.704361937,0.945494631,1.098951324,0.091066138,0.872730497,1.325172151
blaCDD_1,tetM,0.240250236,0.036026926,0.15075439,0.329746083,1.097511258,0.021076803,1.045153577,1.149868938
dfrF,aph2pp_If,0.021306264,0.005155287,0.008499822,0.034112707,1.095642596,0.114350801,0.811579459,1.379705733
aph2pp_If,dfrF,0.040563707,0.015110998,0.003025908,0.078101507,1.092583674,0.109306646,0.821050912,1.364116436
